time	xaccel	yaccel	xaccel_filtered_manual	yaccel_filtered_manual
0.040999889	0.000000000	-0.600000024	0.000000000	0.000000000
0.060999889	0.243478241	-0.765217398	-0.000000000	0.000820220
0.080999889	3.406521269	2.181303748	-0.000332843	0.001686419
0.100999889	4.483333160	-0.730016236	-0.004916676	-0.003025949
0.120999889	5.276006173	-1.643991818	-0.009415156	-0.004336233
0.140999889	4.136985547	-0.666996311	-0.006336112	0.003721530
0.160999889	4.356011220	-1.061006489	0.005980884	0.012061113
0.180999889	2.243291515	1.080038318	0.010037614	0.004814390
0.200999889	1.753501091	-0.149619367	-0.006052713	-0.019342300
0.220999889	2.369987382	-1.576636140	-0.026311616	-0.023236613
0.240999889	1.193768988	0.837652493	-0.015941992	0.017253896
0.260999889	-1.297341272	2.796010097	0.027949160	0.051476780
0.280999889	1.354832369	-1.282250468	0.049891761	0.007657166
0.300999889	2.820028573	-0.827479510	-0.005462293	-0.076411607
0.320999889	1.558208093	-2.323534948	-0.085859454	-0.070018742
0.340999889	-0.844401541	-0.437704031	-0.061548951	0.072004840
0.360999889	-0.981666376	1.485575730	0.089182452	0.169651351
0.380999889	1.737522027	-1.877568237	0.169294896	0.018608214
0.400999889	2.162781671	-3.275224383	-0.028145360	-0.274412349
0.420999889	0.894024753	0.343545196	-0.329557775	-0.346329474
0.440999889	0.999570357	0.239028786	-0.133966061	-0.050543822
0.460999889	0.801024821	0.992187033	1.039445659	0.276730663
0.480999889	0.809490558	0.581514048	2.915213841	0.178515360
0.500999889	0.941300211	0.637426646	4.526961190	-0.333024453
0.520999889	0.469984320	2.856059372	5.062151824	-0.783792589
0.540999889	0.309118670	4.146305236	4.572039156	-0.838851515
0.560999889	1.518678667	0.778220369	3.721105663	-0.637768216
0.580999889	0.310010969	-2.099985088	2.948165726	-0.426671206
0.600999889	1.093346618	-1.041648689	2.154904103	-0.144630715
0.620999889	1.021422547	0.030975053	1.236064616	0.341674259
0.640999889	-0.827554155	-0.465023339	0.575954271	0.755741813
0.660999889	-1.304086461	0.098213101	0.658516716	0.580022119
0.680999889	-0.668064669	-0.733397092	1.284078839	-0.211051404
0.700999889	-0.375458246	-1.572732505	1.595516280	-0.945372709
0.720999889	-0.653824910	0.531102434	1.062532815	-1.038850790
0.740999889	-0.957277189	2.410413832	0.187735889	-0.731826737
0.760999889	-0.677235693	-0.697967846	-0.051160637	-0.695923200
0.780999889	0.333371793	-4.822069287	0.626254767	-1.053940545
0.800999889	1.266704772	-1.110959513	1.488292290	-1.235123004
0.820999889	0.893251578	0.769985251	1.692963450	-0.839584704
0.840999889	-0.680823854	0.242638517	1.220429688	-0.153642375
0.860999889	1.310000774	-1.830101782	0.716272280	0.414903894
0.880999889	1.188944907	-4.008850298	0.604473635	1.007111717
0.900999889	-1.629995507	1.409956493	0.701946112	1.911205243
0.920999889	-1.477615654	-0.066223619	0.700394282	2.695803632
0.940999889	0.412764716	-1.694576439	0.656361478	2.429314375
0.960999889	1.466517112	-1.718994970	0.800847284	0.943051583
0.980999889	1.563042611	-0.534321828	1.033181603	-0.648426759
1.000999889	1.876676535	-0.135833510	0.943722950	-1.152206402
1.020999889	0.782671156	1.446430595	0.350927298	-0.675610147
1.040999889	-0.201970400	0.373854950	-0.408496556	-0.295508335
1.060999889	0.481988343	-3.561973117	-0.856741258	-0.493479178
1.080999889	0.242862993	-2.777619455	-0.891432769	-0.615388174
1.100999889	0.166650572	-1.736596970	-0.777410355	-0.085288613
1.120999889	-0.500009682	1.344338158	-0.711723081	0.512864944
1.140999889	-0.927271809	3.157247640	-0.608012322	0.180530083
1.160999889	-0.729994308	0.946662186	-0.317359652	-0.998442579
1.180999889	0.070005402	0.324440210	0.120792414	-1.817919448
1.200999889	0.073321390	0.493346571	0.539288803	-1.516506972
1.220999889	-0.875996786	1.997013575	0.828299303	-0.747513520
1.240999889	-0.309077200	1.646319825	0.910108614	-0.599985907
1.260999889	0.929532550	-2.094782349	0.634057419	-1.101283749
1.280999889	1.737497494	-4.089995057	-0.051177682	-1.351765031
1.300999889	0.054159174	-0.823318812	-0.786849853	-0.968871727
1.320999889	-0.358182300	-0.452726959	-0.900606017	-0.646162839
1.340999889	-1.559530097	1.077627155	-0.063722781	-0.976328934
1.360999889	-1.037269963	2.237275520	1.207084066	-1.368251868
1.380999889	-0.465831828	1.647495043	1.925927255	-0.809748987
1.400999889	-0.247272566	-0.253645631	1.620259835	0.464255522
1.420999889	0.333045714	-2.142175374	0.774397388	0.891867497
1.440999889	1.204090439	-2.739999672	0.216333295	-0.473643925
1.460999889	0.465457624	-1.915917743	0.196088380	-2.483263218
1.480999889	-0.636364061	1.039104237	0.263060332	-2.983803879
1.500999889	-0.563637047	-1.179070063	-0.010634230	-1.278973110
1.520999889	-1.584337400	2.493439873	-0.471095318	1.083270899
1.540999889	-1.705455960	1.602753311	-0.669278720	2.115944446
1.560999889	-0.862011854	-0.309981174	-0.508688766	1.565260146
1.580999889	0.292278878	-2.138560624	-0.329133664	0.819657271
1.600999889	-0.961887730	0.963767959	-0.360131837	0.920341529
1.620999889	-1.597132128	1.419997462	-0.354192066	1.272101954
1.640999889	-1.232643512	-0.555209719	0.050863021	0.611833774
1.660999889	0.079968931	-1.770975805	0.730052070	-1.178754686
1.680999889	1.946315375	-1.610007498	1.057734979	-2.690859142
1.700999889	0.282064084	-3.205948066	0.582276740	-2.460912000
1.720999889	-0.411218777	-2.921246452	-0.427432718	-0.537324239
1.740999889	-0.637749279	-2.047777528	-1.231381298	1.589908102
1.760999889	-0.864279782	-1.174308604	-1.318130744	2.389107938
1.780999889	-1.090810285	-0.300839680	-0.768478007	1.474070731
1.800999889	-1.317340787	0.572629244	-0.004171988	-0.388301950
